method,lambda,beta,crowding_bin,covered,set_size,crowding,factor
split,,,high,1,1,0.6814222418382833,MKT
split,,,high,1,1,0.7962794940020305,MKT
split,,,high,0,1,0.9999999812882098,MKT
split,,,high,0,1,0.916018663474163,MKT
split,,,high,1,1,0.9999999819527288,MKT
split,,,high,1,1,0.8651623417470428,MKT
split,,,high,1,1,0.7609352880829299,MKT
split,,,high,1,1,0.6521950677144542,MKT
split,,,high,0,1,0.6085880013960305,MKT
split,,,high,1,1,0.706665181268356,MKT
split,,,high,1,1,0.7914378742373164,MKT
split,,,high,1,1,0.8381326951625673,MKT
aci,,,high,1,1,0.6814222418382833,MKT
aci,,,high,1,1,0.7962794940020305,MKT
aci,,,high,0,1,0.9999999812882098,MKT
aci,,,high,0,1,0.916018663474163,MKT
aci,,,high,1,2,0.9999999819527288,MKT
aci,,,high,1,1,0.8651623417470428,MKT
aci,,,high,1,2,0.7609352880829299,MKT
aci,,,high,1,2,0.6521950677144542,MKT
aci,,,high,0,1,0.6085880013960305,MKT
aci,,,high,1,2,0.706665181268356,MKT
aci,,,high,1,2,0.7914378742373164,MKT
aci,,,high,1,2,0.8381326951625673,MKT
crowding_weighted,0.5,,high,1,2,0.6814222418382833,MKT
crowding_weighted,0.5,,high,1,2,0.7962794940020305,MKT
crowding_weighted,0.5,,high,1,2,0.9999999812882098,MKT
crowding_weighted,0.5,,high,1,2,0.916018663474163,MKT
crowding_weighted,0.5,,high,1,2,0.9999999819527288,MKT
crowding_weighted,0.5,,high,1,1,0.8651623417470428,MKT
crowding_weighted,0.5,,high,1,2,0.7609352880829299,MKT
crowding_weighted,0.5,,high,1,1,0.6521950677144542,MKT
crowding_weighted,0.5,,high,0,1,0.6085880013960305,MKT
crowding_weighted,0.5,,high,1,2,0.706665181268356,MKT
crowding_weighted,0.5,,high,1,2,0.7914378742373164,MKT
crowding_weighted,0.5,,high,1,1,0.8381326951625673,MKT
crowding_weighted,1.0,,high,1,2,0.6814222418382833,MKT
crowding_weighted,1.0,,high,1,2,0.7962794940020305,MKT
crowding_weighted,1.0,,high,1,2,0.9999999812882098,MKT
crowding_weighted,1.0,,high,1,2,0.916018663474163,MKT
crowding_weighted,1.0,,high,1,2,0.9999999819527288,MKT
crowding_weighted,1.0,,high,1,2,0.8651623417470428,MKT
crowding_weighted,1.0,,high,1,2,0.7609352880829299,MKT
crowding_weighted,1.0,,high,1,2,0.6521950677144542,MKT
crowding_weighted,1.0,,high,0,1,0.6085880013960305,MKT
crowding_weighted,1.0,,high,1,2,0.706665181268356,MKT
crowding_weighted,1.0,,high,1,2,0.7914378742373164,MKT
crowding_weighted,1.0,,high,1,2,0.8381326951625673,MKT
crowding_weighted,2.0,,high,1,2,0.6814222418382833,MKT
crowding_weighted,2.0,,high,1,2,0.7962794940020305,MKT
crowding_weighted,2.0,,high,1,2,0.9999999812882098,MKT
crowding_weighted,2.0,,high,1,2,0.916018663474163,MKT
crowding_weighted,2.0,,high,1,2,0.9999999819527288,MKT
crowding_weighted,2.0,,high,1,2,0.8651623417470428,MKT
crowding_weighted,2.0,,high,1,2,0.7609352880829299,MKT
crowding_weighted,2.0,,high,1,2,0.6521950677144542,MKT
crowding_weighted,2.0,,high,1,2,0.6085880013960305,MKT
crowding_weighted,2.0,,high,1,2,0.706665181268356,MKT
crowding_weighted,2.0,,high,1,2,0.7914378742373164,MKT
crowding_weighted,2.0,,high,1,2,0.8381326951625673,MKT
crowding_weighted,5.0,,high,1,2,0.6814222418382833,MKT
crowding_weighted,5.0,,high,1,2,0.7962794940020305,MKT
crowding_weighted,5.0,,high,1,2,0.9999999812882098,MKT
crowding_weighted,5.0,,high,1,2,0.916018663474163,MKT
crowding_weighted,5.0,,high,1,2,0.9999999819527288,MKT
