factor,method,coverage,coverage_std,avg_set_size,singleton_rate,n_periods,target,gap
MKT,split,0.8390151515151515,0.2269031820593503,1.071969696969697,0.7424242424242423,44,0.9,-0.06098484848484853
MKT,aci,0.8844696969696969,0.10815565197992749,1.1306818181818181,0.8011363636363638,44,0.9,-0.015530303030303116
MKT,crowding_weighted,0.850378787878788,0.18813269261491458,1.1212121212121213,0.6969696969696971,44,0.9,-0.049621212121212066
MKT,crowding_stratified,0.8106060606060606,0.27336762190610814,1.138257575757576,0.5738636363636364,44,0.9,-0.08939393939393947
MKT,cao,0.8901515151515152,0.09471282460647948,1.1363636363636362,0.7878787878787878,44,0.9,-0.009848484848484773
SMB,split,0.8636363636363636,0.11933670728810138,1.0549242424242424,0.8541666666666665,44,0.9,-0.036363636363636376
SMB,aci,0.8844696969696971,0.07457006202766918,1.1174242424242422,0.8371212121212122,44,0.9,-0.015530303030302894
SMB,crowding_weighted,0.8806818181818182,0.13615916272711928,1.1212121212121213,0.8030303030303029,44,0.9,-0.01931818181818179
SMB,crowding_stratified,0.8731060606060606,0.11003968682067912,1.1628787878787878,0.75,44,0.9,-0.02689393939393947
SMB,cao,0.8882575757575758,0.0671089539359625,1.125,0.8219696969696969,44,0.9,-0.011742424242424221
HML,split,0.8806818181818182,0.18450797696452692,1.2765151515151516,0.6553030303030303,44,0.9,-0.01931818181818179
HML,aci,0.9147727272727271,0.07297798941570692,1.3143939393939397,0.6590909090909091,44,0.9,0.014772727272727049
HML,crowding_weighted,0.8787878787878788,0.19642685537813326,1.331439393939394,0.5511363636363638,44,0.9,-0.021212121212121238
HML,crowding_stratified,0.8731060606060604,0.2130198735463955,1.3503787878787876,0.5094696969696969,44,0.9,-0.02689393939393958
HML,cao,0.9109848484848485,0.06328059634374442,1.3200757575757576,0.6420454545454546,44,0.9,0.010984848484848486
RMW,split,0.850378787878788,0.2340379349417061,1.1818181818181819,0.6439393939393939,44,0.9,-0.049621212121212066
RMW,aci,0.8977272727272729,0.09314979941134334,1.231060606060606,0.7045454545454546,44,0.9,-0.002272727272727093
RMW,crowding_weighted,0.8579545454545454,0.22488839139339653,1.2424242424242424,0.6022727272727273,44,0.9,-0.04204545454545461
RMW,crowding_stratified,0.8806818181818182,0.22259171038593203,1.268939393939394,0.5833333333333334,44,0.9,-0.01931818181818179
RMW,cao,0.8920454545454546,0.090896243513148,1.2291666666666665,0.6988636363636364,44,0.9,-0.007954545454545436
CMA,split,0.8446969696969696,0.2038002241414684,1.1022727272727273,0.7424242424242423,44,0.9,-0.05530303030303041
CMA,aci,0.8958333333333333,0.09531160645787792,1.1609848484848484,0.7897727272727273,44,0.9,-0.004166666666666763
CMA,crowding_weighted,0.8522727272727273,0.21705662311211202,1.1723484848484849,0.649621212121212,44,0.9,-0.04772727272727273
CMA,crowding_stratified,0.8446969696969698,0.19405814172011618,1.2140151515151514,0.5890151515151515,44,0.9,-0.05530303030303019
CMA,cao,0.8920454545454547,0.09265594692636936,1.1761363636363635,0.7746212121212122,44,0.9,-0.007954545454545325
Mom,split,0.837121212121212,0.23907291970219194,1.0965909090909092,0.6988636363636365,44,0.9,-0.06287878787878798
Mom,aci,0.8958333333333331,0.09008501583237569,1.1761363636363635,0.7518939393939394,44,0.9,-0.004166666666666874
Mom,crowding_weighted,0.8428030303030302,0.2412659797032726,1.259469696969697,0.5170454545454546,44,0.9,-0.05719696969696986
Mom,crowding_stratified,0.8371212121212118,0.23429656212327574,1.1931818181818183,0.5909090909090909,44,0.9,-0.0628787878787882
Mom,cao,0.8958333333333333,0.08827407695070341,1.1912878787878787,0.7329545454545454,44,0.9,-0.004166666666666763
ST_Rev,split,0.8636363636363634,0.20888756440785822,1.297348484848485,0.6041666666666667,44,0.9,-0.0363636363636366
ST_Rev,aci,0.899621212121212,0.07535348536488626,1.333333333333333,0.6401515151515151,44,0.9,-0.00037878787878797837
ST_Rev,crowding_weighted,0.8674242424242423,0.21364785878639694,1.3333333333333333,0.5530303030303029,44,0.9,-0.0325757575757577
ST_Rev,crowding_stratified,0.8579545454545453,0.18727229537365445,1.3787878787878787,0.5227272727272727,44,0.9,-0.04204545454545472
ST_Rev,cao,0.8958333333333333,0.07437291677320451,1.3541666666666665,0.6231060606060606,44,0.9,-0.004166666666666763
LT_Rev,split,0.8882575757575757,0.15764659497648995,1.340909090909091,0.6174242424242424,44,0.9,-0.011742424242424332
LT_Rev,aci,0.9090909090909091,0.07147889096382161,1.3446969696969697,0.6287878787878788,44,0.9,0.009090909090909038
LT_Rev,crowding_weighted,0.9015151515151515,0.16102137586675572,1.3749999999999998,0.5643939393939393,44,0.9,0.0015151515151514694
LT_Rev,crowding_stratified,0.8446969696969696,0.20459112584893174,1.2708333333333335,0.6079545454545454,44,0.9,-0.05530303030303041
LT_Rev,cao,0.9090909090909091,0.07147889096382161,1.335227272727273,0.634469696969697,44,0.9,0.009090909090909038
