Rank,Feature,Group,Mean |SHAP|,Std SHAP,Max SHAP
1,Return_22,Return,0.020032804358760616,0.006532224973441172,0.036635668337847045
2,Return_25,Return,0.01115617297353652,0.010865871854304744,0.04787445961660663
3,Return_18,Return,0.009650295634644973,0.0042679303321591176,0.01918655202543277
4,Return_10,Return,0.00962083043697806,0.004411300725351055,0.02173181791257121
5,Correlation_33,Correlation,0.00904056680508132,0.0056120317335228605,0.025966731469759072
6,Return_3,Return,0.007142025754085632,0.00556940806548262,0.021871611214301066
7,Volatility_20,Volatility,0.006848587779276134,0.005077277089979515,0.022808678928176875
8,Return_29,Return,0.006805622993910216,0.004892505337966672,0.01978915150228931
9,Volatility_11,Volatility,0.005517697602990761,0.0029491962587258804,0.013741062670137805
10,Volatility_5,Volatility,0.005435470917417774,0.0033013089436584667,0.016835494676582696
11,Crowding_26,Crowding,0.005285716963248159,0.0032588044930968204,0.014703419600419999
12,Return_4,Return,0.005241996331454601,0.0030100016482532206,0.012362023039175947
13,Crowding_23,Crowding,0.0049469926586098315,0.004250725234354119,0.014284869278262663
14,Return_26,Return,0.00490728563869261,0.0034891651631090087,0.016751822485022647
15,Crowding_15,Crowding,0.004839404945114655,0.003195011231615839,0.013786419110276494
16,Return_13,Return,0.004705598902689276,0.004543158080592592,0.01806943488504178
17,Volatility_10,Volatility,0.004503578471235847,0.0022195964754267725,0.0087557593100408
18,Return_36,Return,0.0044521167599319515,0.002067175235939719,0.011015991560804277
19,Correlation_41,Correlation,0.004439084431231221,0.002919983030394502,0.013847662585666054
20,Return_38,Return,0.004295815430955701,0.003614982524625355,0.017688416963602013
