method,coverage,avg_size,cov_low,cov_medium,cov_high,factor
split,0.75,1.0,0.75,1.0,0.5,MKT
aci,0.75,1.5,0.75,1.0,0.5,MKT
cw_aci_λ0.5,0.75,1.5,1.0,0.75,0.5,MKT
cw_aci_λ1.0,0.75,1.3333333333333333,1.0,0.75,0.5,MKT
cw_aci_λ1.5,0.75,1.3333333333333333,1.0,0.75,0.5,MKT
cw_aci_λ2.0,0.75,1.3333333333333333,1.0,0.75,0.5,MKT
uwcp_static,0.4166666666666667,0.5,0.5,0.5,0.25,MKT
split,1.0,1.3333333333333333,1.0,1.0,1.0,MKT
aci,1.0,1.25,1.0,1.0,1.0,MKT
cw_aci_λ0.5,1.0,1.25,1.0,1.0,1.0,MKT
cw_aci_λ1.0,1.0,1.1666666666666667,1.0,1.0,1.0,MKT
cw_aci_λ1.5,0.9166666666666666,1.6666666666666667,1.0,1.0,0.75,MKT
cw_aci_λ2.0,1.0,1.6666666666666667,1.0,1.0,1.0,MKT
uwcp_static,1.0,1.5,1.0,1.0,1.0,MKT
split,1.0,1.1666666666666667,1.0,1.0,1.0,MKT
aci,0.9166666666666666,1.0,1.0,1.0,0.75,MKT
cw_aci_λ0.5,0.9166666666666666,1.5,1.0,1.0,0.75,MKT
cw_aci_λ1.0,0.9166666666666666,1.5833333333333333,1.0,1.0,0.75,MKT
cw_aci_λ1.5,0.9166666666666666,1.8333333333333333,1.0,1.0,0.75,MKT
cw_aci_λ2.0,0.9166666666666666,1.9166666666666667,1.0,1.0,0.75,MKT
uwcp_static,1.0,2.0,1.0,1.0,1.0,MKT
split,1.0,1.4166666666666667,1.0,1.0,1.0,MKT
aci,0.9166666666666666,1.1666666666666667,0.75,1.0,1.0,MKT
cw_aci_λ0.5,0.9166666666666666,1.5,1.0,0.75,1.0,MKT
cw_aci_λ1.0,0.9166666666666666,1.5,1.0,0.75,1.0,MKT
cw_aci_λ1.5,0.9166666666666666,1.5,1.0,0.75,1.0,MKT
cw_aci_λ2.0,1.0,1.5833333333333333,1.0,1.0,1.0,MKT
uwcp_static,1.0,1.75,1.0,1.0,1.0,MKT
split,0.9166666666666666,0.9166666666666666,1.0,1.0,0.75,MKT
aci,0.9166666666666666,0.9166666666666666,1.0,1.0,0.75,MKT
cw_aci_λ0.5,0.9166666666666666,0.9166666666666666,1.0,1.0,0.75,MKT
cw_aci_λ1.0,0.9166666666666666,0.9166666666666666,1.0,1.0,0.75,MKT
cw_aci_λ1.5,0.9166666666666666,0.9166666666666666,1.0,1.0,0.75,MKT
cw_aci_λ2.0,0.9166666666666666,0.9166666666666666,1.0,1.0,0.75,MKT
uwcp_static,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5,MKT
split,0.6666666666666666,0.9166666666666666,0.5,0.75,0.75,MKT
aci,0.75,1.25,0.5,1.0,0.75,MKT
cw_aci_λ0.5,0.9166666666666666,1.25,1.0,1.0,0.75,MKT
cw_aci_λ1.0,0.9166666666666666,1.4166666666666667,1.0,1.0,0.75,MKT
cw_aci_λ1.5,0.9166666666666666,1.5833333333333333,1.0,1.0,0.75,MKT
cw_aci_λ2.0,0.9166666666666666,1.5833333333333333,1.0,1.0,0.75,MKT
