window,selected_lambda,cwaci_coverage,cwaci_variance,aci_coverage,aci_variance,factor
0,0.0,0.75,0.041666666666666664,0.75,0.041666666666666664,MKT
3,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,MKT
6,0.25,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,MKT
9,0.0,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.05555555555555555,MKT
12,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,MKT
15,0.0,0.75,0.041666666666666664,0.75,0.041666666666666664,MKT
18,0.75,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,MKT
21,1.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,MKT
24,0.0,1.0,0.0,1.0,0.0,MKT
27,0.0,0.5,0.041666666666666664,0.5,0.041666666666666664,MKT
30,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,MKT
33,0.0,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.05555555555555555,MKT
36,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,MKT
39,0.0,1.0,0.0,1.0,0.0,MKT
42,0.0,1.0,0.0,1.0,0.0,MKT
0,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,SMB
3,0.25,1.0,0.0,1.0,0.0,SMB
6,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,SMB
9,0.0,0.75,0.0,0.75,0.0,SMB
12,0.25,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,SMB
15,0.5,0.75,0.0,0.75,0.041666666666666664,SMB
18,0.25,0.8333333333333334,0.01388888888888889,0.75,0.0,SMB
21,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,SMB
24,0.0,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.05555555555555555,SMB
27,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,SMB
30,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,SMB
33,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,SMB
36,0.0,1.0,0.0,1.0,0.0,SMB
39,0.0,1.0,0.0,1.0,0.0,SMB
42,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,SMB
0,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,HML
3,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,HML
6,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,HML
9,0.5,0.9166666666666666,0.01388888888888889,1.0,0.0,HML
12,0.5,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,HML
15,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,HML
18,0.5,0.75,0.0,0.8333333333333334,0.01388888888888889,HML
21,0.0,1.0,0.0,1.0,0.0,HML
24,0.0,1.0,0.0,1.0,0.0,HML
27,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,HML
30,0.0,1.0,0.0,1.0,0.0,HML
33,0.0,0.75,0.041666666666666664,0.75,0.041666666666666664,HML
36,0.0,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.05555555555555555,HML
39,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,HML
42,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,HML
0,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,RMW
3,0.0,1.0,0.0,1.0,0.0,RMW
6,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,RMW
9,0.5,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,RMW
12,0.25,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,RMW
15,0.75,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,RMW
18,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,RMW
21,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,RMW
24,0.25,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,RMW
27,0.0,0.75,0.0,0.75,0.0,RMW
30,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,RMW
33,0.0,1.0,0.0,1.0,0.0,RMW
36,0.25,0.8333333333333334,0.01388888888888889,0.9166666666666666,0.01388888888888889,RMW
39,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,RMW
42,0.0,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.05555555555555555,RMW
0,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,CMA
3,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,CMA
6,0.5,1.0,0.0,1.0,0.0,CMA
9,0.0,0.6666666666666666,0.01388888888888889,0.6666666666666666,0.01388888888888889,CMA
12,0.0,1.0,0.0,1.0,0.0,CMA
15,0.0,0.6666666666666666,0.09722222222222221,0.6666666666666666,0.09722222222222221,CMA
18,0.0,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.05555555555555555,CMA
21,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,CMA
24,0.0,1.0,0.0,1.0,0.0,CMA
27,0.25,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.05555555555555555,CMA
30,0.5,1.0,0.0,1.0,0.0,CMA
33,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,CMA
36,0.5,0.75,0.0,0.75,0.0,CMA
39,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,CMA
42,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,CMA
0,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,Mom
3,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,Mom
6,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,Mom
9,0.0,0.6666666666666666,0.01388888888888889,0.6666666666666666,0.01388888888888889,Mom
12,0.5,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,Mom
15,0.5,0.75,0.0,0.75,0.041666666666666664,Mom
18,0.5,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,Mom
21,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,Mom
24,1.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,Mom
27,0.0,1.0,0.0,1.0,0.0,Mom
30,0.5,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,Mom
33,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,Mom
36,0.0,1.0,0.0,1.0,0.0,Mom
39,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,Mom
42,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,Mom
0,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,ST_Rev
3,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,ST_Rev
6,0.0,1.0,0.0,1.0,0.0,ST_Rev
9,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,ST_Rev
12,0.0,1.0,0.0,1.0,0.0,ST_Rev
15,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,ST_Rev
18,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,ST_Rev
21,0.0,1.0,0.0,1.0,0.0,ST_Rev
24,1.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,ST_Rev
27,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,ST_Rev
30,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,ST_Rev
33,0.0,0.6666666666666666,0.01388888888888889,0.6666666666666666,0.01388888888888889,ST_Rev
36,0.25,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,ST_Rev
39,0.0,0.75,0.0,0.75,0.0,ST_Rev
42,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,ST_Rev
0,0.75,1.0,0.0,1.0,0.0,LT_Rev
3,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,LT_Rev
6,0.0,1.0,0.0,1.0,0.0,LT_Rev
9,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,LT_Rev
12,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,LT_Rev
15,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,LT_Rev
18,0.0,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,LT_Rev
21,0.25,0.8333333333333334,0.01388888888888889,0.8333333333333334,0.01388888888888889,LT_Rev
24,0.0,1.0,0.0,1.0,0.0,LT_Rev
27,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,LT_Rev
30,0.0,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,LT_Rev
33,0.0,0.75,0.0,0.75,0.0,LT_Rev
36,0.75,0.9166666666666666,0.01388888888888889,0.9166666666666666,0.01388888888888889,LT_Rev
39,0.75,1.0,0.0,1.0,0.0,LT_Rev
42,0.0,1.0,0.0,1.0,0.0,LT_Rev
