factor,method,overall_coverage,high_vol_coverage,low_vol_coverage,overall_width,high_vol_width,low_vol_width,n_high,n_low,se_high,se_low
Mkt-RF,Standard CP,0.8850267379679144,0.7914438502673797,0.9786096256684492,0.13721711229946515,0.13721711229946515,0.13721711229946515,187,187,0.029709869994453027,0.010580181810935167
Mkt-RF,Vol-Scaled CP,0.8823529411764706,0.893048128342246,0.8716577540106952,0.13275665662270345,0.1763896418682926,0.08912367137711431,187,187,0.022600124083547644,0.024458905170897577
Mkt-RF,EWMA-Scaled CP,0.93048128342246,0.9144385026737968,0.946524064171123,0.1571009346908524,0.18822845435254806,0.1259734150291568,187,187,0.020454818804073866,0.016452209206870853
Mkt-RF,CQR,0.8770053475935828,0.7754010695187166,0.9786096256684492,0.13929098930481285,0.13929098930481285,0.13929098930481285,187,187,0.030517309098083208,0.010580181810935167
Mkt-RF,Historical Sim,0.8823529411764706,0.7807486631016043,0.983957219251337,0.1426612834224599,0.14355553475935828,0.14176703208556146,187,187,0.03025561230181188,0.009187706834083003
SMB,Standard CP,0.893048128342246,0.8118279569892473,0.973404255319149,0.09246631873945493,0.09246631873945493,0.09246631873945493,186,188,0.028658475189977946,0.011734748146977394
SMB,Vol-Scaled CP,0.9679144385026738,0.9731182795698925,0.9627659574468085,0.12208314685945885,0.15676001979189755,0.08777517683055674,186,188,0.011859185799724732,0.01380865990777562
SMB,EWMA-Scaled CP,0.93048128342246,0.9086021505376344,0.9521276595744681,0.1107342560002062,0.12936707379272278,0.09229965967356749,186,188,0.021129946462437755,0.015570802505950975
SMB,CQR,0.893048128342246,0.8118279569892473,0.973404255319149,0.09241117647058827,0.09241117647058827,0.09241117647058826,186,188,0.028658475189977946,0.011734748146977394
SMB,Historical Sim,0.8609625668449198,0.7688172043010753,0.9521276595744681,0.0897762032085561,0.08844182795698921,0.09109638297872337,186,188,0.03091240752667853,0.015570802505950975
HML,Standard CP,0.8475935828877005,0.7219251336898396,0.9732620320855615,0.088657754010695,0.088657754010695,0.088657754010695,187,187,0.032764696260641914,0.011796638918184103
HML,Vol-Scaled CP,0.8823529411764706,0.8877005347593583,0.8770053475935828,0.09547233938779409,0.1333384991150566,0.057606179660531574,187,187,0.023088795734907356,0.024017258487843304
HML,EWMA-Scaled CP,0.9171122994652406,0.893048128342246,0.9411764705882353,0.11402475281870476,0.14545195449011267,0.08259755114729685,187,187,0.022600124083547644,0.0172064099794619
HML,CQR,0.8449197860962567,0.7272727272727273,0.9625668449197861,0.08769906417112304,0.08769906417112304,0.08769906417112304,187,187,0.032568078219629024,0.013881067393529735
HML,Historical Sim,0.8743315508021391,0.7647058823529411,0.983957219251337,0.0947030213903743,0.09484459893048124,0.09456144385026732,187,187,0.031019296723802582,0.009187706834083003
RMW,Standard CP,0.7941176470588235,0.6577540106951871,0.93048128342246,0.05188531842489062,0.05188531842489062,0.05188531842489062,187,187,0.03469605782208536,0.018598755726156498
RMW,Vol-Scaled CP,0.8716577540106952,0.9037433155080213,0.839572192513369,0.07222660497519652,0.10348916999120611,0.04096403995918693,187,187,0.0215683635398992,0.026837869930665375
RMW,EWMA-Scaled CP,0.8983957219251337,0.8877005347593583,0.9090909090909091,0.07732830530827152,0.10384413120474384,0.05081247941179921,187,187,0.023088795734907356,0.02102260409376729
RMW,CQR,0.7807486631016043,0.6363636363636364,0.9251336898395722,0.05045625668449195,0.05045625668449195,0.05045625668449195,187,187,0.035177544997813406,0.019245298858330904
RMW,Historical Sim,0.8475935828877005,0.7433155080213903,0.9518716577540107,0.0705758021390374,0.07037069518716574,0.07078090909090905,187,187,0.0319422576926591,0.015651964206518963
CMA,Standard CP,0.8636363636363636,0.7486631016042781,0.9786096256684492,0.05997860962566844,0.05997860962566844,0.05997860962566844,187,187,0.031721267844976336,0.010580181810935167
CMA,Vol-Scaled CP,0.9117647058823529,0.9144385026737968,0.9090909090909091,0.06649329272514286,0.08975362774308036,0.043232957707205345,187,187,0.020454818804073866,0.02102260409376729
CMA,EWMA-Scaled CP,0.893048128342246,0.8502673796791443,0.9358288770053476,0.07029408112698893,0.08785396161208892,0.05273420064188893,187,187,0.026092468511222232,0.017920380947574484
CMA,CQR,0.8689839572192514,0.7540106951871658,0.983957219251337,0.060203101604278074,0.060203101604278074,0.060203101604278074,187,187,0.03149387231210867,0.009187706834083003
CMA,Historical Sim,0.8556149732620321,0.732620320855615,0.9786096256684492,0.06334486631016038,0.06130018716577535,0.06538954545454541,187,187,0.03236554138459314,0.010580181810935167
Mom,Standard CP,0.8502673796791443,0.7272727272727273,0.9732620320855615,0.11811363779347418,0.11811363779347418,0.11811363779347418,187,187,0.032568078219629024,0.011796638918184103
Mom,Vol-Scaled CP,0.9278074866310161,0.9251336898395722,0.93048128342246,0.14923550996874435,0.21688457567105318,0.08158644426643549,187,187,0.019245298858330904,0.018598755726156498
Mom,EWMA-Scaled CP,0.93048128342246,0.8983957219251337,0.9625668449197861,0.15892326973189322,0.1981488711015214,0.11969766836226509,187,187,0.02209372945035331,0.013881067393529735
Mom,CQR,0.8609625668449198,0.7433155080213903,0.9786096256684492,0.11494347593582885,0.11494347593582885,0.11494347593582885,187,187,0.0319422576926591,0.010580181810935167
Mom,Historical Sim,0.893048128342246,0.7967914438502673,0.9893048128342246,0.1367937566844919,0.1388355080213903,0.13475200534759352,187,187,0.029425409992852307,0.0075220887335801095
