factor,method,overall_coverage,high_vol_coverage,low_vol_coverage,n_high,n_low,se_high
Mkt-RF,Standard CP,0.8850267379679144,0.7914438502673797,0.9786096256684492,187,187,0.029709869994453027
Mkt-RF,Vol-Scaled CP,0.8823529411764706,0.893048128342246,0.8716577540106952,187,187,0.022600124083547644
Mkt-RF,GARCH-t (Annual),0.9224598930481284,0.8877005347593583,0.9572192513368984,187,187,0.023088795734907356
Mkt-RF,GARCH-t (Monthly),0.946524064171123,0.93048128342246,0.9625668449197861,187,187,0.018598755726156498
Mkt-RF,GJR-GARCH-t (Monthly),0.9518716577540107,0.9411764705882353,0.9625668449197861,187,187,0.0172064099794619
SMB,Standard CP,0.893048128342246,0.8118279569892473,0.973404255319149,186,188,0.028658475189977946
SMB,Vol-Scaled CP,0.9679144385026738,0.9731182795698925,0.9627659574468085,186,188,0.011859185799724732
SMB,GARCH-t (Annual),0.9491978609625669,0.9086021505376344,0.9893617021276596,186,188,0.021129946462437755
SMB,GARCH-t (Monthly),0.9572192513368984,0.9247311827956989,0.9893617021276596,186,188,0.019344558619344095
SMB,GJR-GARCH-t (Monthly),0.9545454545454546,0.9193548387096774,0.9893617021276596,186,188,0.019965227736056083
HML,Standard CP,0.8475935828877005,0.7219251336898396,0.9732620320855615,187,187,0.032764696260641914
HML,Vol-Scaled CP,0.8823529411764706,0.8877005347593583,0.8770053475935828,187,187,0.023088795734907356
HML,GARCH-t (Annual),0.8983957219251337,0.8502673796791443,0.946524064171123,187,187,0.026092468511222232
HML,GARCH-t (Monthly),0.9144385026737968,0.8877005347593583,0.9411764705882353,187,187,0.023088795734907356
HML,GJR-GARCH-t (Monthly),0.9144385026737968,0.893048128342246,0.9358288770053476,187,187,0.022600124083547644
RMW,Standard CP,0.7941176470588235,0.6577540106951871,0.93048128342246,187,187,0.03469605782208536
RMW,Vol-Scaled CP,0.8716577540106952,0.9037433155080213,0.839572192513369,187,187,0.0215683635398992
RMW,GARCH-t (Annual),0.8850267379679144,0.8449197860962567,0.9251336898395722,187,187,0.026470682113370742
RMW,GARCH-t (Monthly),0.9144385026737968,0.8877005347593583,0.9411764705882353,187,187,0.023088795734907356
RMW,GJR-GARCH-t (Monthly),0.9117647058823529,0.8877005347593583,0.9358288770053476,187,187,0.023088795734907356
CMA,Standard CP,0.8636363636363636,0.7486631016042781,0.9786096256684492,187,187,0.031721267844976336
CMA,Vol-Scaled CP,0.9117647058823529,0.9144385026737968,0.9090909090909091,187,187,0.020454818804073866
CMA,GARCH-t (Annual),0.8903743315508021,0.8342245989304813,0.946524064171123,187,187,0.02719447858690591
CMA,GARCH-t (Monthly),0.8903743315508021,0.8449197860962567,0.9358288770053476,187,187,0.026470682113370742
CMA,GJR-GARCH-t (Monthly),0.8903743315508021,0.8449197860962567,0.9358288770053476,187,187,0.026470682113370742
Mom,Standard CP,0.8502673796791443,0.7272727272727273,0.9732620320855615,187,187,0.032568078219629024
Mom,Vol-Scaled CP,0.9278074866310161,0.9251336898395722,0.93048128342246,187,187,0.019245298858330904
Mom,GARCH-t (Annual),0.9090909090909091,0.8449197860962567,0.9732620320855615,187,187,0.026470682113370742
Mom,GARCH-t (Monthly),0.9385026737967914,0.8983957219251337,0.9786096256684492,187,187,0.02209372945035331
Mom,GJR-GARCH-t (Monthly),0.9251336898395722,0.8877005347593583,0.9625668449197861,187,187,0.023088795734907356
