factor,method,overall_coverage,high_vol_coverage,low_vol_coverage,overall_width,high_vol_width,low_vol_width,n_high,n_low,se_high,se_low
Mkt-RF,Standard CP,0.8850267379679144,0.7914438502673797,0.9786096256684492,0.13721711229946515,0.13721711229946515,0.13721711229946515,187,187,0.029709869994453027,0.010580181810935167
Mkt-RF,Vol-Scaled CP,0.8823529411764706,0.893048128342246,0.8716577540106952,0.13275665662270345,0.1763896418682926,0.08912367137711431,187,187,0.022600124083547644,0.024458905170897577
Mkt-RF,"GARCH(1,1)-N",0.8823529411764706,0.8342245989304813,0.93048128342246,0.14299516568038897,0.16644057313312965,0.1195497582276483,187,187,0.02719447858690591,0.018598755726156498
Mkt-RF,"GARCH(1,1)-t",0.9224598930481284,0.8877005347593583,0.9572192513368984,0.16281660924429542,0.19015505452100648,0.13547816396758444,187,187,0.023088795734907356,0.014798207039632876
SMB,Standard CP,0.893048128342246,0.8118279569892473,0.973404255319149,0.09246631873945493,0.09246631873945493,0.09246631873945493,186,188,0.028658475189977946,0.011734748146977394
SMB,Vol-Scaled CP,0.9679144385026738,0.9731182795698925,0.9627659574468085,0.12208314685945885,0.15676001979189755,0.08777517683055674,186,188,0.011859185799724732,0.01380865990777562
SMB,"GARCH(1,1)-N",0.9144385026737968,0.8709677419354839,0.9574468085106383,0.0990386664159898,0.11181084287927698,0.08640236417039712,186,188,0.024580669741972355,0.014721242681311988
SMB,"GARCH(1,1)-t",0.9491978609625669,0.9086021505376344,0.9893617021276596,0.11197974801052259,0.125503712722273,0.09859965526379079,186,188,0.021129946462437755,0.007482292746068612
HML,Standard CP,0.8475935828877005,0.7219251336898396,0.9732620320855615,0.088657754010695,0.088657754010695,0.088657754010695,187,187,0.032764696260641914,0.011796638918184103
HML,Vol-Scaled CP,0.8823529411764706,0.8877005347593583,0.8770053475935828,0.09547233938779409,0.1333384991150566,0.057606179660531574,187,187,0.023088795734907356,0.024017258487843304
HML,"GARCH(1,1)-N",0.8770053475935828,0.8235294117647058,0.93048128342246,0.09641627409900409,0.1184055696645111,0.07442697853349711,187,187,0.027877570356847473,0.018598755726156498
HML,"GARCH(1,1)-t",0.8983957219251337,0.8502673796791443,0.946524064171123,0.10225837478440297,0.12403065644719533,0.08048609312161062,187,187,0.026092468511222232,0.016452209206870853
RMW,Standard CP,0.7941176470588235,0.6577540106951871,0.93048128342246,0.05188531842489062,0.05188531842489062,0.05188531842489062,187,187,0.03469605782208536,0.018598755726156498
RMW,Vol-Scaled CP,0.8716577540106952,0.9037433155080213,0.839572192513369,0.07222660497519652,0.10348916999120611,0.04096403995918693,187,187,0.0215683635398992,0.026837869930665375
RMW,"GARCH(1,1)-N",0.8502673796791443,0.8021390374331551,0.8983957219251337,0.06736534209587378,0.08559651527901095,0.0491341689127366,187,187,0.029132924393850144,0.02209372945035331
RMW,"GARCH(1,1)-t",0.8850267379679144,0.8449197860962567,0.9251336898395722,0.07585332300672742,0.09802103607937633,0.05368560993407853,187,187,0.026470682113370742,0.019245298858330904
CMA,Standard CP,0.8636363636363636,0.7486631016042781,0.9786096256684492,0.05997860962566844,0.05997860962566844,0.05997860962566844,187,187,0.031721267844976336,0.010580181810935167
CMA,Vol-Scaled CP,0.9117647058823529,0.9144385026737968,0.9090909090909091,0.06649329272514286,0.08975362774308036,0.043232957707205345,187,187,0.020454818804073866,0.02102260409376729
CMA,"GARCH(1,1)-N",0.8877005347593583,0.8288770053475936,0.946524064171123,0.06654469738970131,0.08079980275505892,0.05228959202434373,187,187,0.027540919032273417,0.016452209206870853
CMA,"GARCH(1,1)-t",0.8903743315508021,0.8342245989304813,0.946524064171123,0.06695113855108845,0.08127514938422678,0.05262712771795011,187,187,0.02719447858690591,0.016452209206870853
Mom,Standard CP,0.8502673796791443,0.7272727272727273,0.9732620320855615,0.11811363779347418,0.11811363779347418,0.11811363779347418,187,187,0.032568078219629024,0.011796638918184103
Mom,Vol-Scaled CP,0.9278074866310161,0.9251336898395722,0.93048128342246,0.14923550996874435,0.21688457567105318,0.08158644426643549,187,187,0.019245298858330904,0.018598755726156498
Mom,"GARCH(1,1)-N",0.8636363636363636,0.8128342245989305,0.9144385026737968,0.1336921990375795,0.17205183940557797,0.09533255866958104,187,187,0.02852288207227691,0.020454818804073866
Mom,"GARCH(1,1)-t",0.9090909090909091,0.8449197860962567,0.9732620320855615,0.15457791452984332,0.19176913307616142,0.1173866959835252,187,187,0.026470682113370742,0.011796638918184103
