scp_overall,scp_high,scp_low,cwaci_overall,cwaci_high,cwaci_low
0.888,0.824,0.952,0.992,1.0,0.984
0.892,0.824,0.96,1.0,1.0,1.0
0.848,0.76,0.936,0.972,0.96,0.984
0.876,0.832,0.92,0.972,0.984,0.96
0.884,0.84,0.928,0.968,0.968,0.968
0.864,0.784,0.944,0.98,0.976,0.984
0.896,0.808,0.984,0.988,0.976,1.0
0.876,0.84,0.912,0.98,0.976,0.984
0.912,0.888,0.936,0.988,1.0,0.976
0.876,0.816,0.936,0.976,0.96,0.992
0.908,0.864,0.952,0.98,0.96,1.0
0.916,0.88,0.952,0.98,0.984,0.976
0.916,0.912,0.92,0.976,0.992,0.96
0.924,0.936,0.912,0.972,0.968,0.976
0.896,0.84,0.952,0.98,0.968,0.992
0.884,0.824,0.944,0.98,0.984,0.976
0.936,0.92,0.952,0.996,0.992,1.0
0.908,0.848,0.968,0.984,0.984,0.984
0.896,0.832,0.96,0.992,0.984,1.0
0.932,0.88,0.984,0.996,0.992,1.0
0.86,0.792,0.928,0.968,0.96,0.976
0.908,0.84,0.976,0.988,0.976,1.0
0.912,0.872,0.952,0.992,0.992,0.992
0.824,0.736,0.912,0.968,0.968,0.968
0.92,0.864,0.976,0.984,0.984,0.984
0.884,0.84,0.928,0.964,0.952,0.976
0.916,0.856,0.976,0.992,0.984,1.0
0.916,0.904,0.928,0.992,0.992,0.992
0.904,0.848,0.96,0.988,0.984,0.992
0.904,0.824,0.984,0.996,0.992,1.0
0.916,0.872,0.96,0.996,0.992,1.0
0.884,0.848,0.92,0.996,1.0,0.992
0.9,0.824,0.976,0.976,0.96,0.992
0.936,0.896,0.976,0.988,0.984,0.992
0.88,0.808,0.952,0.972,0.968,0.976
0.876,0.816,0.936,0.984,0.976,0.992
0.88,0.792,0.968,0.98,0.96,1.0
0.852,0.768,0.936,0.96,0.944,0.976
0.876,0.84,0.912,0.984,0.968,1.0
0.932,0.904,0.96,0.992,0.992,0.992
0.92,0.872,0.968,0.976,0.96,0.992
0.904,0.864,0.944,0.992,0.992,0.992
0.848,0.768,0.928,0.98,0.968,0.992
0.868,0.792,0.944,0.98,0.976,0.984
0.912,0.856,0.968,0.988,0.992,0.984
0.916,0.872,0.96,0.988,0.976,1.0
0.888,0.816,0.96,0.992,0.984,1.0
0.856,0.768,0.944,0.988,0.976,1.0
0.864,0.784,0.944,0.992,0.992,0.992
0.936,0.904,0.968,0.984,0.976,0.992
0.888,0.84,0.936,0.996,1.0,0.992
0.884,0.856,0.912,0.96,0.968,0.952
0.94,0.912,0.968,0.992,0.984,1.0
0.896,0.864,0.928,0.984,0.984,0.984
0.924,0.872,0.976,0.988,0.976,1.0
0.888,0.832,0.944,0.984,0.984,0.984
0.88,0.848,0.912,0.996,0.992,1.0
0.908,0.848,0.968,0.976,0.968,0.984
0.92,0.88,0.96,0.996,0.992,1.0
0.924,0.88,0.968,0.992,1.0,0.984
0.936,0.888,0.984,0.992,0.984,1.0
0.84,0.744,0.936,0.968,0.952,0.984
0.884,0.816,0.952,0.976,0.968,0.984
0.924,0.872,0.976,0.996,0.992,1.0
0.912,0.88,0.944,0.996,1.0,0.992
0.908,0.88,0.936,0.988,0.992,0.984
0.904,0.856,0.952,0.988,1.0,0.976
0.848,0.792,0.904,0.972,0.968,0.976
0.944,0.92,0.968,0.992,0.992,0.992
0.908,0.88,0.936,0.996,1.0,0.992
0.9,0.832,0.968,0.98,0.976,0.984
0.888,0.832,0.944,1.0,1.0,1.0
0.924,0.88,0.968,0.988,0.976,1.0
0.908,0.84,0.976,0.988,0.992,0.984
0.928,0.88,0.976,0.996,1.0,0.992
0.92,0.872,0.968,0.992,0.984,1.0
0.936,0.888,0.984,0.996,1.0,0.992
0.892,0.832,0.952,0.984,0.968,1.0
0.932,0.888,0.976,0.984,0.976,0.992
0.864,0.824,0.904,0.984,0.992,0.976
0.86,0.792,0.928,0.984,0.976,0.992
0.876,0.792,0.96,0.98,0.96,1.0
0.952,0.92,0.984,1.0,1.0,1.0
0.92,0.864,0.976,0.992,0.992,0.992
0.88,0.848,0.912,0.968,0.976,0.96
0.872,0.808,0.936,0.984,0.992,0.976
0.896,0.84,0.952,0.976,0.96,0.992
0.916,0.88,0.952,0.984,0.984,0.984
0.928,0.872,0.984,0.988,0.984,0.992
0.94,0.896,0.984,0.992,0.992,0.992
0.844,0.752,0.936,0.98,0.968,0.992
0.924,0.88,0.968,0.988,0.992,0.984
0.96,0.936,0.984,0.992,0.984,1.0
0.912,0.848,0.976,0.984,0.976,0.992
0.884,0.808,0.96,0.992,0.992,0.992
0.896,0.864,0.928,0.988,1.0,0.976
0.924,0.864,0.984,0.992,0.984,1.0
0.936,0.912,0.96,1.0,1.0,1.0
0.936,0.912,0.96,0.98,0.984,0.976
0.884,0.824,0.944,0.984,0.992,0.976
0.856,0.768,0.944,0.98,0.968,0.992
0.84,0.76,0.92,0.956,0.96,0.952
0.924,0.872,0.976,0.988,0.992,0.984
0.912,0.848,0.976,0.988,0.984,0.992
0.876,0.832,0.92,0.992,0.992,0.992
0.888,0.824,0.952,0.984,0.976,0.992
0.908,0.824,0.992,0.988,0.984,0.992
0.916,0.88,0.952,0.988,0.984,0.992
0.924,0.864,0.984,0.992,0.984,1.0
0.848,0.768,0.928,0.972,0.968,0.976
0.924,0.896,0.952,0.992,0.992,0.992
0.912,0.856,0.968,0.996,1.0,0.992
0.9,0.84,0.96,0.988,0.992,0.984
0.896,0.832,0.96,0.972,0.96,0.984
0.896,0.816,0.976,0.988,0.976,1.0
0.876,0.848,0.904,0.96,0.952,0.968
0.936,0.88,0.992,0.992,0.984,1.0
0.936,0.896,0.976,0.996,0.992,1.0
0.904,0.856,0.952,0.976,0.96,0.992
0.952,0.928,0.976,0.996,0.992,1.0
0.888,0.832,0.944,0.988,1.0,0.976
0.9,0.816,0.984,0.988,0.984,0.992
0.896,0.832,0.96,0.968,0.96,0.976
0.92,0.864,0.976,0.984,0.976,0.992
0.908,0.864,0.952,0.988,0.992,0.984
0.908,0.864,0.952,0.988,0.992,0.984
0.836,0.768,0.904,0.96,0.968,0.952
