delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.0,0,standard,0.92,0.896,0.944
0.0,0,saci,0.912,0.88,0.944
0.0,0,vol_scaling,0.852,0.984,0.72
0.0,1,standard,0.892,0.896,0.888
0.0,1,saci,0.884,0.896,0.872
0.0,1,vol_scaling,0.8,0.944,0.656
0.0,2,standard,0.88,0.864,0.896
0.0,2,saci,0.88,0.864,0.896
0.0,2,vol_scaling,0.844,0.984,0.704
0.0,3,standard,0.912,0.904,0.92
0.0,3,saci,0.912,0.904,0.92
0.0,3,vol_scaling,0.812,1.0,0.624
0.0,4,standard,0.896,0.856,0.936
0.0,4,saci,0.888,0.84,0.936
0.0,4,vol_scaling,0.876,0.984,0.768
0.0,5,standard,0.884,0.856,0.912
0.0,5,saci,0.86,0.856,0.864
0.0,5,vol_scaling,0.848,0.976,0.72
0.0,6,standard,0.872,0.928,0.816
0.0,6,saci,0.864,0.904,0.824
0.0,6,vol_scaling,0.816,1.0,0.632
0.0,7,standard,0.916,0.912,0.92
0.0,7,saci,0.908,0.912,0.904
0.0,7,vol_scaling,0.852,0.984,0.72
0.0,8,standard,0.936,0.952,0.92
0.0,8,saci,0.932,0.944,0.92
0.0,8,vol_scaling,0.812,0.984,0.64
0.0,9,standard,0.904,0.888,0.92
0.0,9,saci,0.904,0.896,0.912
0.0,9,vol_scaling,0.812,0.984,0.64
0.0,10,standard,0.912,0.904,0.92
0.0,10,saci,0.892,0.88,0.904
0.0,10,vol_scaling,0.828,0.968,0.688
0.0,11,standard,0.9,0.864,0.936
0.0,11,saci,0.9,0.872,0.928
0.0,11,vol_scaling,0.9,1.0,0.8
0.0,12,standard,0.872,0.912,0.832
0.0,12,saci,0.868,0.912,0.824
0.0,12,vol_scaling,0.8,0.992,0.608
0.0,13,standard,0.888,0.896,0.88
0.0,13,saci,0.888,0.888,0.888
0.0,13,vol_scaling,0.864,0.984,0.744
0.0,14,standard,0.948,0.936,0.96
0.0,14,saci,0.932,0.936,0.928
0.0,14,vol_scaling,0.896,0.984,0.808
0.0,15,standard,0.94,0.92,0.96
0.0,15,saci,0.932,0.912,0.952
0.0,15,vol_scaling,0.876,0.992,0.76
0.0,16,standard,0.896,0.896,0.896
0.0,16,saci,0.892,0.888,0.896
0.0,16,vol_scaling,0.836,0.976,0.696
0.0,17,standard,0.9,0.904,0.896
0.0,17,saci,0.9,0.912,0.888
0.0,17,vol_scaling,0.86,1.0,0.72
0.0,18,standard,0.94,0.944,0.936
0.0,18,saci,0.94,0.944,0.936
0.0,18,vol_scaling,0.836,1.0,0.672
0.0,19,standard,0.888,0.904,0.872
0.0,19,saci,0.888,0.904,0.872
0.0,19,vol_scaling,0.82,0.968,0.672
0.0,20,standard,0.928,0.936,0.92
0.0,20,saci,0.92,0.936,0.904
0.0,20,vol_scaling,0.84,0.984,0.696
0.0,21,standard,0.896,0.912,0.88
0.0,21,saci,0.9,0.928,0.872
0.0,21,vol_scaling,0.832,1.0,0.664
0.0,22,standard,0.884,0.88,0.888
0.0,22,saci,0.876,0.88,0.872
0.0,22,vol_scaling,0.84,0.968,0.712
0.0,23,standard,0.884,0.896,0.872
0.0,23,saci,0.884,0.896,0.872
0.0,23,vol_scaling,0.816,0.992,0.64
0.0,24,standard,0.92,0.936,0.904
0.0,24,saci,0.92,0.936,0.904
0.0,24,vol_scaling,0.784,0.968,0.6
0.0,25,standard,0.924,0.928,0.92
0.0,25,saci,0.924,0.928,0.92
0.0,25,vol_scaling,0.852,0.984,0.72
0.0,26,standard,0.908,0.888,0.928
0.0,26,saci,0.904,0.88,0.928
0.0,26,vol_scaling,0.776,0.936,0.616
0.0,27,standard,0.948,0.912,0.984
0.0,27,saci,0.952,0.912,0.992
0.0,27,vol_scaling,0.868,0.968,0.768
0.0,28,standard,0.924,0.928,0.92
0.0,28,saci,0.924,0.912,0.936
0.0,28,vol_scaling,0.832,0.984,0.68
0.0,29,standard,0.916,0.88,0.952
0.0,29,saci,0.916,0.888,0.944
0.0,29,vol_scaling,0.904,1.0,0.808
0.0,30,standard,0.952,0.96,0.944
0.0,30,saci,0.948,0.96,0.936
0.0,30,vol_scaling,0.86,0.968,0.752
0.0,31,standard,0.896,0.928,0.864
0.0,31,saci,0.896,0.928,0.864
0.0,31,vol_scaling,0.764,0.944,0.584
0.0,32,standard,0.896,0.896,0.896
0.0,32,saci,0.892,0.896,0.888
0.0,32,vol_scaling,0.78,0.968,0.592
0.0,33,standard,0.932,0.952,0.912
0.0,33,saci,0.928,0.952,0.904
0.0,33,vol_scaling,0.856,0.992,0.72
0.0,34,standard,0.924,0.928,0.92
0.0,34,saci,0.924,0.928,0.92
0.0,34,vol_scaling,0.836,0.992,0.68
0.0,35,standard,0.908,0.904,0.912
0.0,35,saci,0.908,0.904,0.912
0.0,35,vol_scaling,0.852,1.0,0.704
0.0,36,standard,0.88,0.896,0.864
0.0,36,saci,0.868,0.856,0.88
0.0,36,vol_scaling,0.812,0.984,0.64
