proxy,factor,scp_overall,scp_high,scp_low,cwaci_overall,cwaci_high,cwaci_low,gain_high
baseline,SMB,0.8943089430894309,0.8532608695652174,0.9351351351351351,0.9728997289972899,0.9782608695652174,0.9675675675675676,0.125
baseline,HML,0.8536585365853658,0.782608695652174,0.9243243243243243,0.9539295392953929,0.9402173913043478,0.9675675675675676,0.15760869565217384
baseline,RMW,0.7913279132791328,0.6684782608695652,0.9135135135135135,0.9105691056910569,0.8586956521739131,0.9621621621621622,0.1902173913043479
baseline,CMA,0.8644986449864499,0.8043478260869565,0.9243243243243243,0.962059620596206,0.9402173913043478,0.9837837837837838,0.13586956521739124
baseline,Mom,0.8509485094850948,0.8043478260869565,0.8972972972972973,0.9322493224932249,0.9456521739130435,0.918918918918919,0.14130434782608692
volatility,SMB,0.8943089430894309,0.8206521739130435,0.9675675675675676,0.986449864498645,0.9728260869565217,1.0,0.15217391304347827
volatility,HML,0.8536585365853658,0.7228260869565217,0.9837837837837838,0.975609756097561,0.9510869565217391,1.0,0.2282608695652174
volatility,RMW,0.7913279132791328,0.6521739130434783,0.9297297297297298,0.926829268292683,0.875,0.9783783783783784,0.22282608695652173
volatility,CMA,0.8644986449864499,0.7445652173913043,0.9837837837837838,0.9701897018970189,0.9402173913043478,1.0,0.19565217391304346
volatility,Mom,0.8509485094850948,0.7228260869565217,0.9783783783783784,0.964769647696477,0.9347826086956522,0.9945945945945946,0.2119565217391305
correlation,SMB,0.8943089430894309,0.9021739130434783,0.8864864864864865,0.9728997289972899,0.9836956521739131,0.9621621621621622,0.08152173913043481
correlation,HML,0.8536585365853658,0.8206521739130435,0.8864864864864865,0.9322493224932249,0.9456521739130435,0.918918918918919,0.125
correlation,RMW,0.7913279132791328,0.7391304347826086,0.8432432432432433,0.9186991869918699,0.9239130434782609,0.9135135135135135,0.18478260869565222
correlation,CMA,0.8644986449864499,0.8043478260869565,0.9243243243243243,0.9566395663956639,0.9565217391304348,0.9567567567567568,0.15217391304347827
correlation,Mom,0.8509485094850948,0.7934782608695652,0.9081081081081082,0.9349593495934959,0.9347826086956522,0.9351351351351351,0.14130434782608703
