period,factor,scp_overall,scp_high,scp_low,cwaci_overall,cwaci_high,cwaci_low,gain_high
early,SMB,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9943820224719101,1.0,0.9887640449438202,0.022471910112359605
early,HML,0.8820224719101124,0.8539325842696629,0.9101123595505618,0.9831460674157303,0.9887640449438202,0.9775280898876404,0.1348314606741573
early,RMW,0.9213483146067416,0.8876404494382022,0.9550561797752809,0.9887640449438202,1.0,0.9775280898876404,0.1123595505617978
early,CMA,0.9438202247191011,0.9325842696629213,0.9550561797752809,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.0561797752808989
early,Mom,0.8876404494382022,0.8539325842696629,0.9213483146067416,0.9831460674157303,0.9887640449438202,0.9775280898876404,0.1348314606741573
late,SMB,0.956989247311828,0.956989247311828,0.956989247311828,0.9838709677419355,0.989247311827957,0.978494623655914,0.032258064516129004
late,HML,0.9193548387096774,0.8709677419354839,0.967741935483871,0.978494623655914,0.967741935483871,0.989247311827957,0.09677419354838712
late,RMW,0.967741935483871,0.9354838709677419,1.0,1.0,1.0,1.0,0.06451612903225812
late,CMA,0.9301075268817204,0.8709677419354839,0.989247311827957,0.9838709677419355,0.967741935483871,1.0,0.09677419354838712
late,Mom,0.978494623655914,0.989247311827957,0.967741935483871,0.989247311827957,1.0,0.978494623655914,0.010752688172043001
full,SMB,0.8943089430894309,0.8532608695652174,0.9351351351351351,0.9728997289972899,0.9782608695652174,0.9675675675675676,0.125
full,HML,0.8536585365853658,0.782608695652174,0.9243243243243243,0.9539295392953929,0.9402173913043478,0.9675675675675676,0.15760869565217384
full,RMW,0.7913279132791328,0.6684782608695652,0.9135135135135135,0.9105691056910569,0.8586956521739131,0.9621621621621622,0.1902173913043479
full,CMA,0.8644986449864499,0.8043478260869565,0.9243243243243243,0.962059620596206,0.9402173913043478,0.9837837837837838,0.13586956521739124
full,Mom,0.8509485094850948,0.8043478260869565,0.8972972972972973,0.9322493224932249,0.9456521739130435,0.918918918918919,0.14130434782608692
